Flight_ID,Airline,Route,Flight_Type,Scheduled_Time,Estimated_Time,Gate,Terminal,Runway,Status,Delay_Minutes,Aircraft_Type,Aircraft_Capacity,Weather_Condition,Temperature_C,Wind_Speed_kmh,PSR_Track_ID,SSR_Code,SMR_Location,Latitude,Longitude,Alert_Status,Issue_Type,Turnaround_Time,Taxi_Time,Queue_Position,Passenger_Count,Load_Factor_%
UL200,SriLankan Airlines,CMB-Singapore,Departure,5/13/2026 6:00,5/13/2026 6:05,14,T1,22,Arrived,51,B777,185,Clear,27,21,PSR0,1927,Taxiway,6.8807598,79.86087777,Warning,Weather,94,24,9,242,88
UL201,Air India,CMB-Male,Arrival,5/13/2026 6:15,5/13/2026 6:20,8,T2,22,On Time,42,A320,200,Storm,28,32,PSR1,4825,Gate,7.162823775,79.72683942,Critical,Congestion,48,13,9,259,78
UL202,SriLankan Airlines,CMB-Singapore,Arrival,5/13/2026 6:30,5/13/2026 6:35,12,T2,22,Boarding,38,A320,240,Rain,30,10,PSR2,3272,Runway,7.031949391,79.94958382,Critical,Technical,90,17,2,175,85
UL203,Singapore Airlines,CMB-Doha,Departure,5/13/2026 6:45,5/13/2026 6:50,16,T2,4,Departed,10,A320,288,Storm,31,37,PSR3,5263,Taxiway,6.958722431,79.72029385,Normal,Technical,95,21,7,272,74
UL204,Qatar Airways,CMB-Male,Departure,5/13/2026 7:00,5/13/2026 7:05,21,T2,4,Delayed,26,A330,320,Storm,25,14,PSR4,6419,Runway,7.112303007,79.82154972,Critical,Delay,106,19,6,225,82
UL205,Singapore Airlines,CMB-Dubai,Arrival,5/13/2026 7:15,5/13/2026 7:20,20,T1,22,Arrived,45,A320,193,Storm,31,13,PSR5,4757,Runway,6.832751749,79.78065722,Normal,None,74,16,8,81,82
UL206,SriLankan Airlines,CMB-Doha,Departure,5/13/2026 7:30,5/13/2026 7:35,23,T2,4,Boarding,33,B737,313,Fog,25,19,PSR6,3181,Taxiway,6.995781392,80.09206543,Normal,Weather,112,24,4,249,99
UL207,Qatar Airways,CMB-Bangkok,Departure,5/13/2026 7:45,5/13/2026 7:50,18,T2,22,On Time,2,B777,192,Rain,28,17,PSR7,2759,Taxiway,7.091002193,79.80980535,Warning,None,30,13,6,166,76
UL208,Emirates,CMB-Dubai,Departure,5/13/2026 8:00,5/13/2026 8:05,5,T1,22,Delayed,59,B737,153,Storm,32,32,PSR8,4334,Taxiway,6.983876119,79.83665863,Normal,Technical,50,19,3,177,61
UL209,Singapore Airlines,CMB-Singapore,Departure,5/13/2026 8:15,5/13/2026 8:20,1,T2,22,On Time,57,A320,243,Clear,28,34,PSR9,7473,Runway,7.144790583,79.95625907,Critical,Delay,32,7,4,229,99
UL210,Air India,CMB-Male,Arrival,5/13/2026 8:30,5/13/2026 8:35,9,T1,4,Delayed,38,A330,342,Rain,33,14,PSR10,7483,Runway,6.8938245,79.96697057,Normal,None,118,18,2,259,66
UL211,Qatar Airways,CMB-Doha,Arrival,5/13/2026 8:45,5/13/2026 8:50,22,T1,4,Boarding,32,B777,283,Fog,25,17,PSR11,5240,Runway,6.919808508,80.02586825,Critical,None,100,19,4,260,85
UL212,IndiGo,CMB-Doha,Arrival,5/13/2026 9:00,5/13/2026 9:05,5,T2,4,Arrived,21,A330,288,Rain,28,38,PSR12,3708,Gate,7.013897198,79.84260392,Normal,Technical,109,17,2,202,95
UL213,IndiGo,CMB-Doha,Departure,5/13/2026 9:15,5/13/2026 9:20,12,T2,4,Arrived,12,B777,161,Storm,33,22,PSR13,4184,Runway,7.114296339,80.09982791,Normal,Congestion,57,13,4,269,98
UL214,IndiGo,CMB-Bangkok,Arrival,5/13/2026 9:30,5/13/2026 9:35,15,T2,22,Boarding,19,A330,244,Rain,30,7,PSR14,5850,Taxiway,7.055798801,79.88464309,Critical,Weather,36,15,4,183,97
UL215,Air India,CMB-London,Departure,5/13/2026 9:45,5/13/2026 9:50,19,T2,4,On Time,53,B737,256,Storm,32,39,PSR15,7043,Runway,7.107160314,79.94452758,Critical,Weather,69,14,6,318,74
UL216,Singapore Airlines,CMB-Singapore,Arrival,5/13/2026 10:00,5/13/2026 10:05,10,T2,4,On Time,18,A320,231,Rain,30,27,PSR16,1970,Runway,7.133739353,80.08906815,Warning,Technical,105,20,5,241,94
UL217,IndiGo,CMB-Bangkok,Departure,5/13/2026 10:15,5/13/2026 10:20,8,T2,4,Departed,58,A330,343,Fog,32,35,PSR17,3207,Taxiway,7.06708862,79.78181689,Warning,None,63,10,3,177,61
UL218,Qatar Airways,CMB-Chennai,Arrival,5/13/2026 10:30,5/13/2026 10:35,18,T2,4,Delayed,8,B737,277,Clear,29,16,PSR18,1588,Runway,6.852345789,79.765773,Warning,Weather,99,17,1,193,66
UL219,Singapore Airlines,CMB-Dubai,Arrival,5/13/2026 10:45,5/13/2026 10:50,19,T2,22,Delayed,11,A330,236,Clear,26,29,PSR19,3158,Runway,6.885576418,79.76536908,Critical,Congestion,80,15,3,297,71
